1,2,0
1,2,0
1,3,0
2,3,0
1,4,0
3,4,0
1,5,0
4,5,0
1,6,0
5,6,0
1,7,0
6,7,0
1,8,0
7,8,0
1,9,0
8,9,0
1,10,0
9,10,0
1,11,0
10,11,0
1,12,0
11,12,0
1,13,0
12,13,0
1,14,0
13,14,0
1,15,0
14,15,0
1,16,0
15,16,0
1,17,0
16,17,0
1,18,0
17,18,0
1,19,0
18,19,0
1,20,0
19,20,0
1,21,0
20,21,0
1,22,0
21,22,0
1,23,0
22,23,0
1,24,0
23,24,0
1,25,0
24,25,0
1,26,0
25,26,0
1,27,0
26,27,0
1,28,0
27,28,0
1,29,0
28,29,0
1,30,0
29,30,0
1,31,0
30,31,0
1,32,0
31,32,0
1,33,0
32,33,0
1,34,0
33,34,0
1,35,0
32,35,0
1,36,0
29,36,0
1,37,0
27,37,0
1,38,0
26,38,0
1,39,0
26,39,0
1,40,0
22,40,0
1,41,0
22,41,0
1,42,0
22,42,0
1,43,0
22,43,0
1,44,0
22,44,0
1,45,0
19,45,0
1,46,0
19,46,0
1,47,0
19,47,0
1,48,0
19,48,0
1,49,0
19,49,0
1,50,0
19,50,0
1,51,0
19,51,0
1,52,0
19,52,0
1,53,0
19,53,0
1,54,0
19,54,0
1,55,0
19,55,0
1,56,0
19,56,0
1,57,0
19,57,0
1,58,0
19,58,0
1,59,0
19,59,0
1,60,0
19,60,0
1,61,0
19,61,0
1,62,0
18,62,0
1,63,0
18,63,0
1,64,0
18,64,0
1,65,0
17,65,0
1,66,0
17,66,0
1,67,0
17,67,0
1,68,0
17,68,0
1,69,0
17,69,0
1,70,0
17,70,0
1,71,0
17,71,0
1,72,0
16,72,0
1,73,0
16,73,0
1,74,0
15,74,0
1,75,0
15,75,0
1,76,0
15,76,0
1,77,0
15,77,0
1,78,0
15,78,0
1,79,0
15,79,0
1,80,0
14,80,0
1,81,0
14,81,0
1,82,0
13,82,0
1,83,0
12,83,0
1,84,0
12,84,0
1,85,0
12,85,0
1,86,0
12,86,0
1,87,0
12,87,0
1,88,0
12,88,0
1,89,0
12,89,0
1,90,0
12,90,0
1,91,0
10,91,0
1,92,0
10,92,0
1,93,0
10,93,0
1,94,0
9,94,0
1,95,0
9,95,0
1,96,0
9,96,0
1,97,0
9,97,0
1,98,0
9,98,0
1,99,0
9,99,0
1,100,0
9,100,0
1,101,0
8,101,0
1,102,0
6,102,0
1,103,0
5,103,0
1,104,0
5,104,0
1,105,0
4,105,0
1,106,0
4,106,0
1,107,0
4,107,0
1,108,0
4,108,0
1,109,0
4,109,0
1,110,0
4,110,0
1,111,0
4,111,0
1,112,0
4,112,0
1,113,0
4,113,0
1,114,0
4,114,0
1,115,0
4,115,0
1,116,0
4,116,0
1,117,0
4,117,0
1,118,0
4,118,0
1,119,0
4,119,0
1,120,0
4,120,0
1,121,0
4,121,0
1,122,0
4,122,0
1,123,0
4,123,0
1,124,0
4,124,0
1,125,0
4,125,0
1,126,0
4,126,0
1,127,0
4,127,0
1,128,0
4,128,0
1,129,0
4,129,0
1,130,0
4,130,0
1,131,0
4,131,0
1,132,0
4,132,0
1,133,0
4,133,0
1,134,0
4,134,0
1,135,0
4,135,0
1,136,0
4,136,0
1,137,0
4,137,0
1,138,0
4,138,0
1,139,0
3,139,0
1,140,0
3,140,0
1,141,0
3,141,0
1,142,0
3,142,0
1,143,0
3,143,0
1,144,0
3,144,0
1,145,0
3,145,0
1,146,0
3,146,0
1,147,0
3,147,0
1,148,0
3,148,0
1,149,0
3,149,0
1,150,0
3,150,0
1,151,0
3,151,0
1,152,0
3,152,0
1,153,0
3,153,0
1,154,0
3,154,0
1,155,0
3,155,0
1,156,0
3,156,0
1,157,0
3,157,0
1,158,0
3,158,0
1,159,0
3,159,0
1,160,0
3,160,0
1,161,0
3,161,0
