1,1,0
296,1,0
1,2,0
240,2,0
1,3,0
240,3,0
1,4,0
235,4,0
1,5,0
235,5,0
1,6,0
171,6,0
1,7,0
171,7,0
1,8,0
165,8,0
1,9,0
165,9,0
1,10,0
141,10,0
1,11,0
141,11,0
1,12,0
127,12,0
1,13,0
127,13,0
1,14,0
110,14,0
1,15,0
110,15,0
1,16,0
100,16,0
1,17,0
100,17,0
1,18,0
86,18,0
1,19,0
86,19,0
1,20,0
81,20,0
1,21,0
81,21,0
1,22,0
80,22,0
1,23,0
80,23,0
1,24,0
77,24,0
1,25,0
77,25,0
1,26,0
68,26,0
1,27,0
68,27,0
1,28,0
61,28,0
1,29,0
61,29,0
1,30,0
58,30,0
1,31,0
58,31,0
1,32,0
56,32,0
1,33,0
56,33,0
1,34,0
55,34,0
1,35,0
55,35,0
1,36,0
48,36,0
1,37,0
48,37,0
1,38,0
46,38,0
1,39,0
46,39,0
1,40,0
45,40,0
1,41,0
45,41,0
1,42,0
44,42,0
1,43,0
44,43,0
1,44,0
40,44,0
1,45,0
40,45,0
1,46,0
39,46,0
1,47,0
39,47,0
1,48,0
36,48,0
1,49,0
36,49,0
1,50,0
33,50,0
1,51,0
33,51,0
1,52,0
32,52,0
1,53,0
32,53,0
1,54,0
31,54,0
1,55,0
31,55,0
1,56,0
22,56,0
1,57,0
22,57,0
1,58,0
21,58,0
1,59,0
21,59,0
1,60,0
19,60,0
1,61,0
19,61,0
1,62,0
16,62,0
1,63,0
16,63,0
1,64,0
15,64,0
1,65,0
15,65,0
1,66,0
12,66,0
1,67,0
12,67,0
1,68,0
7,68,0
1,69,0
7,69,0
1,70,0
5,70,0
1,71,0
5,71,0
1,72,0
4,72,0
1,73,0
4,73,0
1,74,0
3,74,0
1,75,0
3,75,0
1,76,0
2,76,0
1,77,0
2,77,0
1,78,0
1,78,0
1,79,0
1,79,0
