1,1,0
212,1,0
1,2,0
212,2,0
1,3,0
193,3,0
1,4,0
193,4,0
1,5,0
160,5,0
1,6,0
160,6,0
1,7,0
124,7,0
1,8,0
124,8,0
1,9,0
122,9,0
1,10,0
122,10,0
1,11,0
118,11,0
1,12,0
118,12,0
1,13,0
116,13,0
1,14,0
116,14,0
1,15,0
109,15,0
1,16,0
109,16,0
1,17,0
107,17,0
1,18,0
107,18,0
1,19,0
105,19,0
1,20,0
105,20,0
1,21,0
101,21,0
1,22,0
101,22,0
1,23,0
94,23,0
1,24,0
94,24,0
1,25,0
81,25,0
1,26,0
81,26,0
1,27,0
78,27,0
1,28,0
78,28,0
1,29,0
73,29,0
1,30,0
73,30,0
1,31,0
71,31,0
1,32,0
71,32,0
1,33,0
69,33,0
1,34,0
69,34,0
1,35,0
64,35,0
1,36,0
64,36,0
1,37,0
62,37,0
1,38,0
62,38,0
1,39,0
61,39,0
1,40,0
61,40,0
1,41,0
56,41,0
1,42,0
56,42,0
1,43,0
54,43,0
1,44,0
54,44,0
1,45,0
46,45,0
1,46,0
46,46,0
1,47,0
43,47,0
1,48,0
43,48,0
1,49,0
37,49,0
1,50,0
37,50,0
1,51,0
24,51,0
1,52,0
24,52,0
1,53,0
23,53,0
1,54,0
23,54,0
1,55,0
22,55,0
1,56,0
22,56,0
1,57,0
16,57,0
1,58,0
16,58,0
1,59,0
15,59,0
1,60,0
15,60,0
1,61,0
12,61,0
1,62,0
12,62,0
1,63,0
11,63,0
1,64,0
11,64,0
1,65,0
8,65,0
1,66,0
8,66,0
1,67,0
1,67,0
1,68,0
1,68,0
