1,1,0
41,1,0
1,2,0
40,2,0
1,3,0
40,3,0
1,4,0
40,4,0
1,5,0
39,5,0
1,6,0
39,6,0
1,7,0
39,7,0
1,8,0
38,8,0
1,9,0
37,9,0
1,10,0
36,10,0
1,11,0
36,11,0
1,12,0
35,12,0
1,13,0
34,13,0
1,14,0
34,14,0
1,15,0
33,15,0
1,16,0
33,16,0
1,17,0
33,17,0
1,18,0
33,18,0
1,19,0
33,19,0
1,20,0
33,20,0
1,21,0
33,21,0
1,22,0
33,22,0
1,23,0
33,23,0
1,24,0
32,24,0
1,25,0
32,25,0
1,26,0
31,26,0
1,27,0
31,27,0
1,28,0
31,28,0
1,29,0
31,29,0
1,30,0
31,30,0
1,31,0
31,31,0
1,32,0
30,32,0
1,33,0
30,33,0
1,34,0
30,34,0
1,35,0
29,35,0
1,36,0
29,36,0
1,37,0
29,37,0
1,38,0
28,38,0
1,39,0
28,39,0
1,40,0
28,40,0
1,41,0
28,41,0
1,42,0
28,42,0
1,43,0
28,43,0
1,44,0
27,44,0
1,45,0
26,45,0
1,46,0
26,46,0
1,47,0
26,47,0
1,48,0
25,48,0
1,49,0
24,49,0
1,50,0
23,50,0
1,51,0
22,51,0
1,52,0
22,52,0
1,53,0
21,53,0
1,54,0
21,54,0
1,55,0
20,55,0
1,56,0
20,56,0
1,57,0
20,57,0
1,58,0
19,58,0
1,59,0
19,59,0
1,60,0
18,60,0
1,61,0
18,61,0
1,62,0
18,62,0
1,63,0
18,63,0
1,64,0
17,64,0
1,65,0
17,65,0
1,66,0
17,66,0
1,67,0
17,67,0
1,68,0
16,68,0
1,69,0
15,69,0
1,70,0
15,70,0
1,71,0
15,71,0
1,72,0
15,72,0
1,73,0
15,73,0
1,74,0
15,74,0
1,75,0
14,75,0
1,76,0
14,76,0
1,77,0
14,77,0
1,78,0
14,78,0
1,79,0
14,79,0
1,80,0
14,80,0
1,81,0
14,81,0
1,82,0
14,82,0
1,83,0
13,83,0
1,84,0
13,84,0
1,85,0
13,85,0
1,86,0
13,86,0
1,87,0
12,87,0
1,88,0
12,88,0
1,89,0
12,89,0
1,90,0
11,90,0
1,91,0
11,91,0
1,92,0
10,92,0
1,93,0
10,93,0
1,94,0
10,94,0
1,95,0
10,95,0
1,96,0
10,96,0
1,97,0
9,97,0
1,98,0
8,98,0
1,99,0
8,99,0
1,100,0
8,100,0
1,101,0
8,101,0
1,102,0
8,102,0
1,103,0
7,103,0
1,104,0
7,104,0
1,105,0
6,105,0
1,106,0
6,106,0
1,107,0
6,107,0
1,108,0
6,108,0
1,109,0
5,109,0
1,110,0
5,110,0
1,111,0
5,111,0
1,112,0
5,112,0
1,113,0
5,113,0
1,114,0
5,114,0
1,115,0
5,115,0
1,116,0
4,116,0
1,117,0
4,117,0
1,118,0
4,118,0
1,119,0
4,119,0
1,120,0
4,120,0
1,121,0
4,121,0
1,122,0
4,122,0
1,123,0
3,123,0
1,124,0
3,124,0
1,125,0
3,125,0
1,126,0
3,126,0
1,127,0
3,127,0
1,128,0
3,128,0
1,129,0
3,129,0
1,130,0
3,130,0
1,131,0
2,131,0
1,132,0
2,132,0
1,133,0
2,133,0
1,134,0
1,134,0
1,135,0
1,135,0
1,136,0
1,136,0
1,137,0
1,137,0
1,138,0
1,138,0
1,139,0
1,139,0
1,140,0
1,140,0
1,141,0
1,141,0
1,142,0
1,142,0
1,143,0
1,143,0
1,144,0
1,144,0
1,145,0
1,145,0
1,146,0
1,146,0
1,147,0
1,147,0
1,148,0
1,148,0
1,149,0
1,149,0
1,150,0
1,150,0
1,151,0
1,151,0
1,152,0
1,152,0
1,153,0
1,153,0
1,154,0
1,154,0
1,155,0
1,155,0
1,156,0
1,156,0
1,157,0
1,157,0
1,158,0
1,158,0
1,159,0
1,159,0
1,160,0
1,160,0
1,161,0
1,161,0
1,162,0
1,162,0
1,163,0
1,163,0
1,164,0
1,164,0
1,165,0
1,165,0
1,166,0
1,166,0
1,167,0
1,167,0
1,168,0
1,168,0
1,169,0
1,169,0
1,170,0
1,170,0
