1,1,0
12,1,0
1,2,0
11,2,0
1,3,0
10,3,0
1,4,0
9,4,0
1,5,0
9,5,0
1,6,0
8,6,0
1,7,0
8,7,0
1,8,0
7,8,0
1,9,0
7,9,0
1,10,0
7,10,0
1,11,0
7,11,0
1,12,0
7,12,0
1,13,0
7,13,0
1,14,0
7,14,0
1,15,0
7,15,0
1,16,0
7,16,0
1,17,0
7,17,0
1,18,0
6,18,0
1,19,0
6,19,0
1,20,0
6,20,0
1,21,0
6,21,0
1,22,0
5,22,0
1,23,0
5,23,0
1,24,0
4,24,0
1,25,0
4,25,0
1,26,0
4,26,0
1,27,0
4,27,0
1,28,0
4,28,0
1,29,0
4,29,0
1,30,0
4,30,0
1,31,0
4,31,0
1,32,0
4,32,0
1,33,0
4,33,0
1,34,0
4,34,0
1,35,0
4,35,0
1,36,0
4,36,0
1,37,0
4,37,0
1,38,0
4,38,0
1,39,0
4,39,0
1,40,0
4,40,0
1,41,0
4,41,0
1,42,0
4,42,0
1,43,0
3,43,0
1,44,0
3,44,0
1,45,0
3,45,0
1,46,0
3,46,0
1,47,0
3,47,0
1,48,0
2,48,0
1,49,0
2,49,0
1,50,0
2,50,0
1,51,0
1,51,0
1,52,0
1,52,0
1,53,0
1,53,0
1,54,0
1,54,0
1,55,0
1,55,0
