1,1,0
14,1,0
1,2,0
13,2,0
1,3,0
13,3,0
1,4,0
13,4,0
1,5,0
12,5,0
1,6,0
12,6,0
1,7,0
12,7,0
1,8,0
12,8,0
1,9,0
12,9,0
1,10,0
12,10,0
1,11,0
11,11,0
1,12,0
10,12,0
1,13,0
9,13,0
1,14,0
8,14,0
1,15,0
7,15,0
1,16,0
6,16,0
1,17,0
6,17,0
1,18,0
6,18,0
1,19,0
6,19,0
1,20,0
6,20,0
1,21,0
6,21,0
1,22,0
6,22,0
1,23,0
5,23,0
1,24,0
5,24,0
1,25,0
4,25,0
1,26,0
4,26,0
1,27,0
4,27,0
1,28,0
4,28,0
1,29,0
4,29,0
1,30,0
4,30,0
1,31,0
4,31,0
1,32,0
4,32,0
1,33,0
4,33,0
1,34,0
4,34,0
1,35,0
3,35,0
1,36,0
2,36,0
1,37,0
2,37,0
1,38,0
1,38,0
1,39,0
1,39,0
1,40,0
1,40,0
1,41,0
1,41,0
1,42,0
1,42,0
1,43,0
1,43,0
1,44,0
1,44,0
1,45,0
1,45,0
1,46,0
1,46,0
1,47,0
1,47,0
1,48,0
1,48,0
1,49,0
1,49,0
1,50,0
1,50,0
1,51,0
1,51,0
1,52,0
1,52,0
1,53,0
1,53,0
1,54,0
1,54,0
1,55,0
1,55,0
1,56,0
1,56,0
1,57,0
1,57,0
1,58,0
1,58,0
1,59,0
1,59,0
1,60,0
1,60,0
1,61,0
1,61,0
1,62,0
1,62,0
1,63,0
1,63,0
1,64,0
1,64,0
1,65,0
1,65,0
1,66,0
1,66,0
1,67,0
1,67,0
1,68,0
1,68,0
1,69,0
1,69,0
1,70,0
1,70,0
1,71,0
1,71,0
1,72,0
1,72,0
1,73,0
1,73,0
1,74,0
1,74,0
1,75,0
1,75,0
1,76,0
1,76,0
1,77,0
1,77,0
1,78,0
1,78,0
1,79,0
1,79,0
1,80,0
1,80,0
1,81,0
1,81,0
1,82,0
1,82,0
1,83,0
1,83,0
1,84,0
1,84,0
