1,1,0
162,1,0
1,3,0
150,3,0
1,5,0
137,5,0
1,7,0
110,7,0
1,9,0
108,9,0
1,11,0
107,11,0
1,13,0
106,13,0
1,15,0
100,15,0
1,17,0
99,17,0
1,19,0
95,19,0
1,21,0
85,21,0
1,23,0
84,23,0
1,25,0
78,25,0
1,27,0
72,27,0
1,29,0
71,29,0
1,31,0
61,31,0
1,33,0
60,33,0
1,35,0
56,35,0
1,37,0
54,37,0
1,39,0
52,39,0
1,41,0
45,41,0
1,43,0
38,43,0
1,45,0
37,45,0
1,47,0
35,47,0
1,49,0
33,49,0
1,51,0
32,51,0
1,53,0
27,53,0
1,55,0
26,55,0
1,57,0
22,57,0
1,59,0
21,59,0
1,61,0
16,61,0
1,63,0
15,63,0
1,65,0
12,65,0
1,67,0
11,67,0
1,69,0
10,69,0
1,71,0
8,71,0
1,73,0
6,73,0
1,75,0
4,75,0
1,77,0
3,77,0
1,79,0
2,79,0
