1,1,0
9,1,0
1,2,0
8,2,0
1,3,0
8,3,0
1,4,0
8,4,0
1,5,0
8,5,0
1,6,0
8,6,0
1,7,0
8,7,0
1,8,0
7,8,0
1,9,0
7,9,0
1,10,0
7,10,0
1,11,0
6,11,0
1,12,0
6,12,0
1,13,0
6,13,0
1,14,0
5,14,0
1,15,0
5,15,0
1,16,0
5,16,0
1,17,0
5,17,0
1,18,0
5,18,0
1,19,0
5,19,0
1,20,0
5,20,0
1,21,0
5,21,0
1,22,0
5,22,0
1,23,0
4,23,0
1,24,0
4,24,0
1,25,0
4,25,0
1,26,0
3,26,0
1,27,0
3,27,0
1,28,0
3,28,0
1,29,0
2,29,0
1,30,0
2,30,0
1,31,0
2,31,0
1,32,0
1,32,0
1,33,0
1,33,0
1,34,0
1,34,0
1,35,0
1,35,0
1,36,0
1,36,0
1,37,0
1,37,0
1,38,0
1,38,0
1,39,0
1,39,0
1,40,0
1,40,0
1,41,0
1,41,0
1,42,0
1,42,0
1,43,0
1,43,0
1,44,0
1,44,0
