1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,1,30
31,1,31
32,1,32
33,1,33
34,1,34
35,1,35
36,1,36
37,1,37
38,1,38
39,1,39
40,1,40
41,1,41
42,1,42
43,1,43
44,1,44
45,1,45
46,1,46
47,1,47
48,1,48
49,1,49
50,1,50
51,1,51
52,1,52
53,1,53
54,1,54
55,1,55
56,1,56
57,1,57
58,1,58
59,1,59
60,1,60
61,1,61
62,1,62
63,1,63
1,2,64
2,2,65
3,2,66
4,2,67
5,2,68
6,2,69
7,2,70
8,2,71
9,2,72
10,2,73
11,2,74
12,2,75
13,2,76
14,2,77
15,2,78
1,3,79
2,3,80
3,3,81
4,3,82
5,3,83
6,3,84
7,3,85
1,4,86
2,4,87
3,4,88
4,4,89
5,4,90
6,4,91
7,4,92
1,5,93
2,5,94
3,5,95
1,6,96
2,6,97
3,6,98
1,7,99
1,8,100
