1,1,0
422,1,0
1,3,0
188,3,0
1,5,0
175,5,0
1,7,0
152,7,0
1,9,0
149,9,0
1,11,0
124,11,0
1,13,0
119,13,0
1,15,0
94,15,0
1,17,0
88,17,0
1,19,0
87,19,0
1,21,0
83,21,0
1,23,0
79,23,0
1,25,0
76,25,0
1,27,0
72,27,0
1,29,0
70,29,0
1,31,0
69,31,0
1,33,0
67,33,0
1,35,0
60,35,0
1,37,0
59,37,0
1,39,0
55,39,0
1,41,0
51,41,0
1,43,0
49,43,0
1,45,0
37,45,0
1,47,0
36,47,0
1,49,0
35,49,0
1,51,0
31,51,0
1,53,0
30,53,0
1,55,0
27,55,0
1,57,0
24,57,0
1,59,0
14,59,0
1,61,0
9,61,0
1,63,0
5,63,0
1,65,0
4,65,0
1,67,0
2,67,0
1,69,0
1,69,0
