1,1,0
14,1,0
1,2,0
14,2,0
1,3,0
13,3,0
1,4,0
13,4,0
1,5,0
13,5,0
1,6,0
12,6,0
1,7,0
11,7,0
1,8,0
10,8,0
1,9,0
10,9,0
1,10,0
10,10,0
1,11,0
10,11,0
1,12,0
9,12,0
1,13,0
8,13,0
1,14,0
8,14,0
1,15,0
7,15,0
1,16,0
7,16,0
1,17,0
7,17,0
1,18,0
6,18,0
1,19,0
6,19,0
1,20,0
5,20,0
1,21,0
5,21,0
1,22,0
5,22,0
1,23,0
5,23,0
1,24,0
5,24,0
1,25,0
5,25,0
1,26,0
5,26,0
1,27,0
5,27,0
1,28,0
4,28,0
1,29,0
4,29,0
1,30,0
4,30,0
1,31,0
4,31,0
1,32,0
4,32,0
1,33,0
4,33,0
1,34,0
4,34,0
1,35,0
4,35,0
1,36,0
4,36,0
1,37,0
3,37,0
1,38,0
2,38,0
1,39,0
1,39,0
1,40,0
1,40,0
1,41,0
1,41,0
1,42,0
1,42,0
1,43,0
1,43,0
1,44,0
1,44,0
1,45,0
1,45,0
1,46,0
1,46,0
1,47,0
1,47,0
1,48,0
1,48,0
